name,brand,price
Cashmere Cable Cardigan Sweater,WHITE + WARREN, $75.00 
Plus Twill Topper Long Sleeve Jacket,TAHARI BY ASL, $39.00 
Quilted Down Jacket,Reveal Designer , $49.00 
Essential Striped Cashmere Sweater,WHITE + WARREN, $75.00 
Zig Zag Sweater,CECE, $15.00 
High Waist Tie Dye Starstruck Capris,C&C CALIFORNIA, $10.00 
Made In Italy Status Print Tie Front Jumpsuit,MAGARI, $20.00 
Tie Dye Lyocell Trench Coat,BADGLEY MISCHKA, $49.00 
Smocked Puff Shoulder Top,WILLOW & CLAY, $10.00 
Raglan Rain Anorak,BAGATELLE SPORT, $39.00 
Camo Printed Fast Forward Bra,C&C CALIFORNIA, $10.00 
2pc Chiffon & Lace Dress And Jacket Set,R&M RICHARDS, $29.00 
Made In Italy Pleated Hem Cocktail Dress,VANESSA COLLEZIONE, $29.00 
Juniors Soft Leather Zip Up Jacket,BB DAKOTA, $39.00 
Houndstooth Coatigan,COCO GIO, $43.00 
Juniors Utility Snakeskin Shirt Dress,JAPNA, $15.00 
Faux Suede Moto Leggings,SOLITAIRE, $15.00 
Sequin Chiffon Jumpsuit,MARINA, $43.00 
Side Knot Sweater,NICOLE MILLER NEW YORK, $20.00 
Printed Scuba Dress,MAX STUDIO, $22.00 
Sheridan Skinny Ankle Jeans,JAG, $20.00 
Made In Italy Novelty Knit Abstract Square Insert Dress,MARTINA GIGLI, $22.00 
One Shoulder Stretch Luxe Pleat Detail Gown,KAY UNGER, $59.00 
Long Sweater Coat,Reveal Designer , $29.00 
Made In Italy Ruffle Front Cocktail Dress,MARISA & MARIE, $29.00 
Threadborne Train Tee,Reveal Designer , $10.00 
Liquid Knit Jumpsuit,TAHARI BY ASL, $43.00 
Long Sleeve Lace Top,ADIVA, $10.00 
Threadborne Streaker Half Zip Top,Reveal Designer , $15.00 
Juniors Reversible Faux Suede And Sherpa Vest,BB DAKOTA, $20.00 
Jersey Asymmetrical Ruffle Dress,ADRIANNA PAPELL, $29.00 
2 Tier Water Resistant Windbreaker,APANA, $12.00 
Made In Italy Pleated Satin Midi Cocktail Dress,COOLPLES, $29.00 
Printed Chelsea Rain Booties,JACK ROGERS, $22.00 
Made In Italy Leather Zip Booties,DANIELLEE, $59.00 
Knit High Top Sneakers,JSLIDES, $29.00 
Made In Italy Weatherproof Leather Booties,AQUATALIA, $149.00 
Ankle Booties With Faux Suede Texture,NINE WEST, $39.00 
Strappy Heel Sandals,NINE WEST, $39.00 
Retro Slip On Leather Sneakers,JSLIDES, $29.00 
Suede And Vinyl Ankle Strap Heels,CHARLES DAVID, $43.00 
Suede Cut Out Flats,NINE WEST, $25.00 
Snakeskin Leather Stiletto Heel Booties,MAX AZRIA, $59.00 
Oversized Jogging Sneakers,Reveal Designer , $43.00 
Made In Italy Pointy Toe Leather Shoes,SPINNAKER, $59.00 
Made In Italy Pointy Toe Leather Boots,Reveal Designer , $684.00 
Whipstitch Pointy Toe Suede Flats,JACK ROGERS, $39.00 
Leather Loafers,Reveal Designer , $29.00 
Made In Italy Leather Lizard Heels,GRIGIARANCIO, $75.00 
Made In Italy Suede With Sherpa Booties,MA&LO, $119.00 
Suede And Vinyl Ankle Strap Heels,CHARLES DAVID, $43.00 
Made In Brazil Sock Booties,SCHUTZ, $75.00 
Made In Italy Python Printed Leather Flats,Reveal Designer , $331.00 
Haircalf Animal Ballet Flats,Reveal Designer , $39.00 
Wedge Sneakers,COCONUTS, $22.00 
Slingback Suede Flats,FREE PEOPLE, $43.00 
Leather Loafers,Reveal Designer , $29.00 
Made In Italy Faux Shearling Lined Lace Up Suede Boots,FABIANELLI, $75.00 
Leather Kitten Heels,NINE WEST, $29.00 
Slouchy Leather Mid Shaft Boots,PATRICIA NASH, $59.00 
Made In Italy Pointy Toe Leather Boots,SCARPEITALIA, $75.00 
Buckle Booties,COCONUTS, $22.00 
Scalloped Suede Flats,JACK ROGERS, $39.00 
Suede Walking Shoes,RYKA, $20.00 
Cheetah Booties,MATISSE, $39.00 
Leather And Suede Joggers,Reveal Designer , $39.00 
Made In Brazil Leather And Vinyl Pumps,SCHUTZ, $59.00 
Faux Suede Sneaker Booties,COCONUTS, $29.00 
Suede Ankle Boots,CARMELA, $43.00 
Made In Italy Leather Chelsea Boots,BARNEYS NEW YORK, $75.00 
Memory Foam Slip-on Sneakers,Reveal Designer , $22.00 
Made In Italy Suede Block Heel Mules,BARBARA BARBIERI, $43.00 
Pointy Toe Leather Ballet Flats,ME TOO, $22.00 
Made In Italy Pointy Toe Leather Boots,LAURABELLARIVA, $99.00 
Leather T Strap Flats,NINE WEST, $22.00 
Lightweight Ultimate Comfort Sneakers,Reveal Designer , $43.00 
Made In Italy Knee High Leather Boots,NAPOLEONI, $109.00 
Snake Print Comfort Flats,Reveal Designer , $25.00 
Made In Italy Studded Leather Pointy Toe Booties,Reveal Designer , $684.00 
Leather Flats With Skull Ornament,Reveal Designer , $199.00 
Made In Italy Suede Winter Boots,OSCAR, $99.00 
Snake Print Embossed Leather Pumps,DOLCE VITA, $43.00 
Made In Italy Tall Shaft Leather Boots,Reveal Designer ," $1,299.00 "
Made In Italy Suede Pointy Toe Dress Booties,MA&LO, $99.00 
Snakeskin Embossed Leather Buckle Shoes,SPLENDID, $29.00 
Made In Brazil Textured Leather Mules,SCHUTZ, $75.00 
White Bottom Rain Booties,HENRY FERRERA, $20.00 
Suede Cut Out Ankle Booties,REBELS, $39.00 
All Day Comfort Leather Loafers,CLARKS, $39.00 
Leather Western Harness Boots,FRYE, $119.00 
Women's Walking Shoes,RYKA, $20.00 
Made In Brazil Pointy Toe Stiletto Heels,BARNEYS NEW YORK, $59.00 
Pointy Toe High Heel Booties,CHARLES BY CHARLES DAVID, $39.00 
Leather Slingback Pumps,NINE WEST, $29.00 
Slip On Haircalf Sneaker Booties,COCONUTS, $29.00 
Stretch Knit Leather Sock Booties,FRYE, $109.00 
Leather Collapsible Heel Loafers,PATRICIA NASH, $43.00 
Made In Brazil Dad Style Sneakers,SCHUTZ, $59.00 
Made In Italy Lizard Leather Heels,GRIGIARANCIO, $75.00 
Comfort Sport Booties,RYKA, $22.00 
Made In Brazil Suede And Vinyl Kitten Heels,SCHUTZ, $43.00 
Leather Slingback Comfort Pumps,Reveal Designer , $43.00 
Leather Flats With Skull Ornament,Reveal Designer , $199.00 
Made In Italy Shearling Lined Suede Hiking Boots,BOEMOS, $75.00 
Suede High Top Sneakers,JSLIDES, $25.00 
Leather Comfort Pumps,CLARKS, $29.00 
Suede Booties,MATISSE, $43.00 
Made In Italy Leather Weatherproof Ankle Boots,AQUATALIA, $149.00 
Made In Italy Suede Booties,GRIGIARANCIO, $75.00 
Snake Embossed Pumps,CHARLES BY CHARLES DAVID, $25.00 
Snakeskin Embossed Loafers,DOLCE VITA, $39.00 
Made In Italy Block Heel Leather Boots,NAPOLEONI, $99.00 
Slip On Sneakers,COCONUTS, $29.00 
Snakeskin Embossed Pumps,CHARLES BY CHARLES DAVID, $25.00 
Suede Slip On Sneakers,Reveal Designer , $29.00 
Made In Italy Suede Chelsea Boots,BARBARA BARBIERI, $59.00 
Waterproof Chelsea Rain Booties,CHOOKA, $20.00 
Made In Italy Pointy Toe Leather Shoes,SPINNAKER, $59.00 
Made In Italy Pointy Toe Leather Flats,AVELLINI, $43.00 
Slip On Sneakers,COCONUTS, $22.00 
Haircalf Pointy Toe Booties,Reveal Designer , $59.00 
